product_name,filename,link,type,appliedVariationProduct,applicableRegion,description
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],
,,,['complianceOther'],['010'],[],
,,,['complianceOther'],['010'],[],
,,,['complianceOther'],['010'],[],
,,,['umFile'],"['HLB', 'HLK', 'HLP']","['CA', 'UK', 'US']",
,,,['umFile'],"['HLB', 'HLK', 'HLP']","['CA', 'UK', 'US']",
,,,['umFile'],"['HLB', 'HLK', 'HLP']","['CA', 'UK', 'US']",
,,,['umFile'],"['HLB', 'HLK', 'HLP']","['CA', 'US', 'UK']",
,,,['fda'],['FN-008CR-AG'],[],
,,,['msds'],['FN-008CR-AG'],[],
